"","ethnicity","region","sex","agegrp","qualification","occupation","hours","income"
"9275","Maori","Northland","F",65,"School","No Occupation",0,242
"9276","European","Auckland","F",60,"Vocational/Trade","Sales Workers",24,315
"9277","European","Auckland","F",45,"Vocational/Trade","No Occupation",0,224
"9278","European","Northland","F",55,"None","Sales Workers",40,1036
"9279","European","Canterbury","F",20,"Vocational/Trade","Sales Workers",0,-190
"9280","European","Nelson/Tasman/Marlborough/West Coast","M",55,"None","No Occupation",0,0
"9281","European","Auckland","F",30,"Bachelore or Higher","Managers",40,1123
"9282","European","Auckland","M",65,"Vocational/Trade","No Occupation",0,527
"9283","Asian","Auckland","F",25,"Bachelore or Higher","Sales Workers",0,844
"9284","Other","Auckland","F",20,"None","No Occupation",0,327
"9285","European","Gisborne / Hawke's Bay","F",65,"None","No Occupation",0,281
"9286","Pacific People","Auckland","F",50,"None","Labourers",35,520
"9287","European","Nelson/Tasman/Marlborough/West Coast","M",65,"School","No Occupation",0,368
"9288","Asian","Canterbury","F",40,"Bachelore or Higher","Professionals",55,1635
"9289","European","Waikato","M",20,"Other","Managers",37,1018
"9290","European","Waikato","F",65,"None","No Occupation",0,172
"9291","European","Auckland","M",45,"Vocational/Trade","Managers",0,168
"9292","Other","Auckland","F",20,"Vocational/Trade","No Occupation",0,326
"9293","European","Other","F",50,"Other","Community and Personal Service Worker",60,962
"9294","Asian","Auckland","F",45,"School","No Occupation",0,132
"9295","European","Other","F",50,"Vocational/Trade","Sales Workers",40,1369
"9296","Other","Waikato","M",30,"Vocational/Trade","No Occupation",0,164
"9297","European","Auckland","F",35,"Vocational/Trade","Clerical and Administrative Workers",46,1548
"9298","European","Waikato","F",65,"School","No Occupation",0,575
"9299","European","Gisborne / Hawke's Bay","M",65,"Vocational/Trade","No Occupation",0,295
"9300","European","Nelson/Tasman/Marlborough/West Coast","F",25,"Vocational/Trade","Community and Personal Service Worker",17,1277
"9301","European","Northland","F",55,"School","Community and Personal Service Worker",0,189
"9302","European","Gisborne / Hawke's Bay","F",40,"Other","Technicians and Trade Workers",50,1242
"9303","European","Other","M",40,"Bachelore or Higher","Managers",42,968
"9304","European","Northland","F",60,"School","Labourers",40,1278
"9305","Asian","Waikato","M",50,"Bachelore or Higher","Sales Workers",40,1507
"9306","European","Waikato","F",25,"Vocational/Trade","Technicians and Trade Workers",15,795
"9307","Asian","Auckland","F",30,"Vocational/Trade","Sales Workers",40,907
"9308","European","Wellington","F",40,"Bachelore or Higher","No Occupation",0,218
"9309","European","Northland","M",65,"Vocational/Trade","No Occupation",0,709
"9310","European","Canterbury","M",50,"School","Machinery Operators and Drivers",0,507
"9311","European","Nelson/Tasman/Marlborough/West Coast","M",55,"Vocational/Trade","Professionals",0,1688
"9312","Asian","Auckland","M",35,"Bachelore or Higher","No Occupation",0,0
"9313","Other","Auckland","M",40,"Vocational/Trade","No Occupation",0,361
"9314","European","Wellington","M",60,"Vocational/Trade","Technicians and Trade Workers",0,-112
"9315","European","Canterbury","F",25,"School","Clerical and Administrative Workers",32,310
"9316","Maori","Gisborne / Hawke's Bay","M",15,"None","No Occupation",0,0
"9317","European","Canterbury","M",25,"School","Machinery Operators and Drivers",40,873
"9318","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,331
"9319","Maori","Wellington","F",15,"School","No Occupation",0,0
"9320","European","Auckland","M",25,"None","Managers",8,528
"9321","European","Auckland","M",30,"Bachelore or Higher","Professionals",40,1119
"9322","Pacific People","Auckland","M",45,"None","No Occupation",0,0
"9323","Maori","Auckland","F",45,"School","Labourers",0,228
"9324","Middle Eastern/Latin American/African","Wellington","F",25,"School","Professionals",18,554
"9325","European","Bay of Plenty","F",20,"School","No Occupation",0,400
"9326","European","Auckland","M",60,"School","Sales Workers",40,1034
"9327","European","Nelson/Tasman/Marlborough/West Coast","M",65,"Vocational/Trade","No Occupation",0,184
"9328","European","Wellington","M",65,"School","No Occupation",0,0
"9329","Maori","Other","M",15,"None","No Occupation",0,0
"9330","European","Other","M",35,"None","Labourers",5,105
"9331","European","Gisborne / Hawke's Bay","F",40,"Vocational/Trade","Clerical and Administrative Workers",45,1157
"9332","European","Nelson/Tasman/Marlborough/West Coast","M",15,"School","No Occupation",0,431
"9333","European","Manawatu-Wanganui","F",65,"None","No Occupation",0,0
"9334","European","Gisborne / Hawke's Bay","M",40,"Vocational/Trade","Technicians and Trade Workers",40.5,795
"9335","European","Wellington","F",45,"None","No Occupation",0,0
"9336","Asian","Auckland","M",45,"Bachelore or Higher","Clerical and Administrative Workers",0,-142
"9337","Other","Auckland","M",55,"Bachelore or Higher","Professionals",20,1292
"9338","European","Wellington","M",50,"Bachelore or Higher","Clerical and Administrative Workers",40,1498
"9339","European","Wellington","F",50,"None","Sales Workers",0,110
"9340","European","Bay of Plenty","M",40,"Vocational/Trade","No Occupation",0,0
"9341","European","Nelson/Tasman/Marlborough/West Coast","F",55,"Vocational/Trade","Technicians and Trade Workers",18,297
"9342","Asian","Canterbury","F",30,"School","Clerical and Administrative Workers",30,1139
"9343","Other","Wellington","M",25,"School","Labourers",60,1291
"9344","European","Wellington","F",35,"None","No Occupation",0,283
"9345","Other Ethnicity","Gisborne / Hawke's Bay","F",60,"School","Managers",14,236
"9346","European","Canterbury","F",30,"Vocational/Trade","Managers",37,804
"9347","Maori","Wellington","M",45,"Other","Technicians and Trade Workers",0,797
"9348","European","Nelson/Tasman/Marlborough/West Coast","F",65,"None","Labourers",40,880
"9349","European","Bay of Plenty","F",60,"None","No Occupation",0,0
"9350","European","Manawatu-Wanganui","F",50,"Bachelore or Higher","Professionals",0,-211
"9351","European","Northland","M",40,"None","Community and Personal Service Worker",40,761
"9352","European","Auckland","F",45,"Other","Machinery Operators and Drivers",8,382
"9353","European","Bay of Plenty","F",25,"Vocational/Trade","Clerical and Administrative Workers",40,1293
"9354","European","Canterbury","F",60,"Bachelore or Higher","Professionals",40,2245
"9355","European","Bay of Plenty","F",65,"Vocational/Trade","No Occupation",0,0
"9356","European","Wellington","F",60,"None","Labourers",0,777
"9357","European","Wellington","M",60,"Vocational/Trade","Machinery Operators and Drivers",50,1072
"9358","Maori","Taranaki","M",65,"None","Managers",0,1070
"9359","Middle Eastern/Latin American/African","Wellington","F",25,"Other","Labourers",40,576
"9360","Asian","Auckland","F",55,"School","Community and Personal Service Worker",19,307
"9361","European","Waikato","M",15,"None","No Occupation",0,0
"9362","European","Canterbury","F",25,"Vocational/Trade","Clerical and Administrative Workers",40,572
"9363","Pacific People","Auckland","M",20,"Vocational/Trade","Technicians and Trade Workers",40,704
"9364","Other","Auckland","F",35,"Other","No Occupation",0,325
"9365","European","Auckland","M",25,"School","Managers",0,863
"9366","European","Auckland","M",40,"Bachelore or Higher","Professionals",45,1564
"9367","European","Northland","M",40,"Bachelore or Higher","Clerical and Administrative Workers",48,874
"9368","European","Gisborne / Hawke's Bay","F",55,"Bachelore or Higher","Professionals",40,863
"9369","European","Canterbury","F",50,"Bachelore or Higher","Professionals",40,4747
"9370","European","Wellington","F",65,"Bachelore or Higher","No Occupation",0,369
"9371","Maori","Gisborne / Hawke's Bay","F",55,"None","No Occupation",0,404
"9372","European","Auckland","M",30,"Bachelore or Higher","No Occupation",0,135
"9373","Asian","Other","F",30,"None","Clerical and Administrative Workers",34.5,774
"9374","European","Other","F",20,"None","Labourers",4,58
"9375","Pacific People","Auckland","F",30,"School","Managers",14,554
"9376","European","Wellington","M",50,"Bachelore or Higher","Technicians and Trade Workers",50,1267
"9377","European","Waikato","F",50,"School","Clerical and Administrative Workers",72.5,2282
"9378","Other","Auckland","M",55,"Vocational/Trade","Labourers",0,363
"9379","European","Waikato","M",40,"Vocational/Trade","Professionals",40,727
"9380","Other Ethnicity","Gisborne / Hawke's Bay","M",35,"Vocational/Trade","Technicians and Trade Workers",50,1654
"9381","European","Waikato","F",65,"None","No Occupation",0,24
"9382","European","Auckland","M",25,"Other","Technicians and Trade Workers",60,1381
"9383","European","Auckland","F",40,"School","Managers",26,792
"9384","European","Bay of Plenty","M",65,"Vocational/Trade","No Occupation",0,864
"9385","European","Gisborne / Hawke's Bay","F",65,"None","No Occupation",0,88
"9386","European","Auckland","M",50,"Vocational/Trade","Professionals",42.5,2201
"9387","Maori","Bay of Plenty","M",15,"None","No Occupation",0,0
"9388","European","Auckland","F",65,"None","No Occupation",0,311
"9389","European","Other","M",45,"Vocational/Trade","Technicians and Trade Workers",0,-3551
"9390","European","Manawatu-Wanganui","F",20,"School","Managers",45,1796
"9391","European","Manawatu-Wanganui","F",30,"School","Community and Personal Service Worker",0,271
"9392","European","Auckland","F",65,"Vocational/Trade","No Occupation",0,0
"9393","European","Canterbury","F",40,"Vocational/Trade","Clerical and Administrative Workers",35,802
"9394","Asian","Waikato","M",20,"School","No Occupation",0,185
"9395","European","Auckland","F",60,"None","Managers",50,970
"9396","European","Nelson/Tasman/Marlborough/West Coast","F",35,"Vocational/Trade","No Occupation",0,0
"9397","Maori","Taranaki","F",30,"Vocational/Trade","Professionals",10,168
"9398","European","Canterbury","M",35,"Vocational/Trade","Technicians and Trade Workers",48,1557
"9399","Maori","Waikato","F",25,"Bachelore or Higher","Professionals",40,570
"9400","European","Auckland","M",20,"None","Labourers",36,994
"9401","European","Waikato","F",35,"Bachelore or Higher","No Occupation",0,74
"9402","European","Auckland","F",20,"School","No Occupation",0,220
"9403","European","Canterbury","M",30,"Vocational/Trade","No Occupation",0,168
"9404","European","Waikato","F",45,"School","Clerical and Administrative Workers",35,567
"9405","European","Wellington","F",40,"Vocational/Trade","Clerical and Administrative Workers",38,1278
"9406","European","Auckland","M",40,"Bachelore or Higher","Managers",0,686
"9407","European","Gisborne / Hawke's Bay","F",25,"School","Clerical and Administrative Workers",0,552
"9408","Maori","Gisborne / Hawke's Bay","F",35,"School","No Occupation",0,302
"9409","European","Waikato","F",55,"None","Managers",45,959
"9410","European","Auckland","M",60,"None","Technicians and Trade Workers",25.5,367
"9411","European","Auckland","M",65,"Bachelore or Higher","No Occupation",0,77
"9412","European","Taranaki","M",45,"None","Labourers",40,1503
"9413","Asian","Auckland","M",25,"Vocational/Trade","Professionals",50,740
"9414","European","Auckland","F",35,"Vocational/Trade","Professionals",34,1014
"9415","European","Canterbury","F",65,"None","No Occupation",0,265
"9416","European","Auckland","M",45,"Vocational/Trade","Labourers",32.5,532
"9417","European","Canterbury","M",40,"Vocational/Trade","Managers",70,3949
"9418","European","Northland","F",50,"Vocational/Trade","Sales Workers",40,576
"9419","European","Gisborne / Hawke's Bay","F",50,"School","Clerical and Administrative Workers",10,550
"9420","European","Gisborne / Hawke's Bay","M",65,"Vocational/Trade","No Occupation",0,1
"9421","European","Bay of Plenty","M",65,"School","Community and Personal Service Worker",40,1063
"9422","European","Auckland","F",40,"Bachelore or Higher","Professionals",45,1960
"9423","Other Ethnicity","Nelson/Tasman/Marlborough/West Coast","F",55,"School","Managers",0,155
"9424","Maori","Wellington","M",35,"None","Labourers",41.5,1001
"9425","Asian","Canterbury","M",55,"School","Technicians and Trade Workers",0,718
"9426","European","Wellington","F",35,"Bachelore or Higher","Professionals",40,1630
"9427","European","Wellington","M",20,"Vocational/Trade","Technicians and Trade Workers",18,484
"9428","Other","Auckland","M",20,"Vocational/Trade","Machinery Operators and Drivers",40,492
"9429","European","Auckland","M",55,"School","No Occupation",0,1
"9430","European","Waikato","F",15,"School","Managers",40,888
"9431","European","Canterbury","F",20,"Vocational/Trade","Community and Personal Service Worker",47,1058
"9432","European","Auckland","M",35,"None","Technicians and Trade Workers",48,782
"9433","Pacific People","Auckland","F",65,"None","No Occupation",0,275
"9434","European","Canterbury","F",65,"None","Technicians and Trade Workers",8.5,496
"9435","European","Waikato","F",65,"Vocational/Trade","No Occupation",0,206
"9436","European","Northland","M",45,"Vocational/Trade","Community and Personal Service Worker",55,851
"9437","European","Canterbury","F",65,"Vocational/Trade","No Occupation",0,363
"9438","Pacific People","Auckland","F",45,"None","Sales Workers",16,191
"9439","European","Canterbury","M",25,"School","No Occupation",0,270
"9440","European","Auckland","F",40,"Bachelore or Higher","Managers",45,1650
"9441","Asian","Auckland","F",20,"School","Clerical and Administrative Workers",45,793
"9442","European","Bay of Plenty","F",65,"Vocational/Trade","Managers",30,844
"9443","Other","Canterbury","F",20,"Other","No Occupation",0,0
"9444","European","Auckland","M",40,"Bachelore or Higher","Professionals",9,435
"9445","Maori","Auckland","M",65,"School","No Occupation",0,64
"9446","European","Northland","M",35,"Vocational/Trade","Technicians and Trade Workers",32,1242
"9447","European","Auckland","F",30,"Bachelore or Higher","Professionals",41.5,630
"9448","Maori","Nelson/Tasman/Marlborough/West Coast","F",45,"Bachelore or Higher","Professionals",25,725
"9449","European","Other","M",45,"Vocational/Trade","Technicians and Trade Workers",40,1436
"9450","Asian","Auckland","F",35,"Vocational/Trade","Sales Workers",40,675
"9451","Other","Canterbury","F",55,"Bachelore or Higher","Professionals",44,1203
"9452","Asian","Auckland","M",65,"Vocational/Trade","No Occupation",0,0
"9453","European","Canterbury","M",20,"Vocational/Trade","Labourers",30,845
"9454","European","Manawatu-Wanganui","M",45,"Bachelore or Higher","Professionals",0,1256
"9455","European","Manawatu-Wanganui","M",35,"School","Machinery Operators and Drivers",52,1229
"9456","Asian","Auckland","F",45,"Bachelore or Higher","Managers",12,183
"9457","European","Canterbury","M",65,"Vocational/Trade","No Occupation",0,495
"9458","European","Northland","F",30,"Bachelore or Higher","Professionals",0,0
"9459","European","Other","M",20,"None","No Occupation",0,295
"9460","European","Gisborne / Hawke's Bay","M",50,"Bachelore or Higher","Professionals",0,2637
"9461","Asian","Auckland","M",65,"None","Sales Workers",0,4553
"9462","Asian","Waikato","F",25,"Bachelore or Higher","Professionals",40,1214
"9463","Middle Eastern/Latin American/African","Auckland","M",65,"Bachelore or Higher","No Occupation",0,0
"9464","Asian","Auckland","F",15,"School","No Occupation",0,0
"9465","European","Canterbury","F",65,"None","No Occupation",0,351
"9466","European","Wellington","M",65,"None","No Occupation",0,390
"9467","Other","Waikato","F",25,"Bachelore or Higher","Professionals",2,422
"9468","European","Wellington","F",50,"Vocational/Trade","Managers",30,582
"9469","European","Manawatu-Wanganui","M",35,"Vocational/Trade","Machinery Operators and Drivers",48,1104
"9470","European","Canterbury","M",20,"Bachelore or Higher","Professionals",40,1814
"9471","European","Auckland","M",45,"None","No Occupation",0,469
"9472","European","Waikato","F",15,"School","Labourers",20,281
"9473","European","Other","M",45,"Vocational/Trade","Managers",45,1406
"9474","European","Bay of Plenty","M",25,"None","Machinery Operators and Drivers",42,785
"9475","European","Waikato","F",65,"School","No Occupation",0,230
"9476","Pacific People","Auckland","M",40,"School","Technicians and Trade Workers",0,169
"9477","European","Waikato","M",35,"Bachelore or Higher","Professionals",40,1688
"9478","European","Wellington","M",30,"Vocational/Trade","Managers",0,238
"9479","European","Wellington","F",20,"Bachelore or Higher","Professionals",40,993
"9480","European","Auckland","M",25,"Bachelore or Higher","Professionals",50,785
"9481","Asian","Auckland","F",60,"Other","Sales Workers",0,2546
"9482","Asian","Canterbury","F",15,"School","Labourers",29.5,345
"9483","European","Auckland","M",65,"Other","No Occupation",0,202
"9484","European","Other","F",40,"School","Clerical and Administrative Workers",32,-359
"9485","European","Auckland","M",25,"School","Technicians and Trade Workers",40,540
"9486","Other","Northland","M",15,"School","No Occupation",0,0
"9487","Maori","Wellington","M",15,"School","No Occupation",0,0
"9488","European","Auckland","F",30,"School","No Occupation",0,370
"9489","European","Auckland","F",30,"Vocational/Trade","Sales Workers",40,2209
"9490","Other Ethnicity","Manawatu-Wanganui","F",65,"Vocational/Trade","No Occupation",0,171
"9491","European","Auckland","F",35,"Bachelore or Higher","Professionals",30,1143
"9492","Asian","Wellington","M",45,"Vocational/Trade","Machinery Operators and Drivers",30,949
"9493","European","Nelson/Tasman/Marlborough/West Coast","F",60,"Vocational/Trade","Managers",0,-211
"9494","Other","Gisborne / Hawke's Bay","F",30,"Vocational/Trade","Community and Personal Service Worker",30,597
"9495","European","Bay of Plenty","M",65,"None","No Occupation",0,144
"9496","Asian","Auckland","M",15,"School","No Occupation",0,0
"9497","European","Bay of Plenty","F",20,"Vocational/Trade","Clerical and Administrative Workers",15,231
"9498","European","Canterbury","F",25,"Bachelore or Higher","No Occupation",0,0
"9499","European","Manawatu-Wanganui","M",25,"Other","Professionals",40,1349
"9500","European","Auckland","M",30,"Bachelore or Higher","Professionals",8,264
"9501","European","Northland","M",55,"Vocational/Trade","Managers",47,1571
"9502","European","Bay of Plenty","F",35,"None","Sales Workers",37.5,865
"9503","European","Manawatu-Wanganui","F",50,"Vocational/Trade","Managers",30,901
"9504","Pacific People","Auckland","M",55,"None","No Occupation",0,272
"9505","European","Auckland","F",60,"None","Technicians and Trade Workers",44,1200
"9506","Other","Auckland","M",20,"School","No Occupation",0,285
"9507","European","Canterbury","M",65,"Other","No Occupation",0,828
"9508","European","Canterbury","F",50,"None","Professionals",45,967
"9509","Maori","Manawatu-Wanganui","M",60,"None","No Occupation",0,69
"9510","European","Wellington","M",55,"School","Technicians and Trade Workers",41,1696
"9511","European","Bay of Plenty","M",60,"School","Professionals",0,-6
"9512","European","Canterbury","F",45,"None","No Occupation",0,288
"9513","European","Wellington","F",35,"School","Labourers",13,449
"9514","Pacific People","Wellington","F",20,"School","No Occupation",0,325
"9515","European","Canterbury","M",40,"Vocational/Trade","Managers",20,660
"9516","Maori","Auckland","F",20,"Vocational/Trade","Clerical and Administrative Workers",36,1093
"9517","Other","Auckland","F",25,"School","No Occupation",0,235
"9518","European","Auckland","M",50,"Bachelore or Higher","Professionals",40,2163
"9519","European","Auckland","F",65,"School","No Occupation",0,1245
"9520","European","Canterbury","M",25,"School","Technicians and Trade Workers",40,1364
"9521","European","Bay of Plenty","F",65,"Vocational/Trade","Labourers",37.5,1226
"9522","European","Wellington","F",45,"Vocational/Trade","Professionals",48,1160
"9523","Maori","Bay of Plenty","M",15,"None","No Occupation",0,0
"9524","Asian","Wellington","F",35,"School","No Occupation",0,403
"9525","European","Canterbury","F",20,"Bachelore or Higher","Professionals",37.5,578
"9526","European","Canterbury","F",50,"Vocational/Trade","Sales Workers",30,530
"9527","European","Nelson/Tasman/Marlborough/West Coast","M",65,"Vocational/Trade","No Occupation",0,0
"9528","Asian","Bay of Plenty","F",40,"Other","Community and Personal Service Worker",40,633
"9529","European","Waikato","M",45,"Vocational/Trade","Managers",40,570
"9530","European","Auckland","F",15,"School","No Occupation",0,0
"9531","European","Auckland","M",35,"Vocational/Trade","Technicians and Trade Workers",54,644
"9532","European","Nelson/Tasman/Marlborough/West Coast","F",55,"Vocational/Trade","Community and Personal Service Worker",30,1135
"9533","Maori","Waikato","F",30,"Bachelore or Higher","Professionals",40,675
"9534","European","Auckland","M",20,"School","Machinery Operators and Drivers",35,766
"9535","European","Northland","F",60,"Vocational/Trade","No Occupation",0,95
"9536","European","Bay of Plenty","F",40,"Bachelore or Higher","Professionals",36,1308
"9537","European","Canterbury","M",60,"None","No Occupation",0,727
"9538","Pacific People","Auckland","M",15,"School","No Occupation",0,0
"9539","Pacific People","Auckland","F",35,"School","Managers",0,3145
"9540","European","Bay of Plenty","F",65,"Vocational/Trade","Professionals",0,507
"9541","European","Canterbury","M",65,"None","No Occupation",0,5649
"9542","European","Taranaki","F",60,"Vocational/Trade","No Occupation",0,509
"9543","European","Auckland","M",25,"Vocational/Trade","Technicians and Trade Workers",40,1034
"9544","European","Canterbury","M",65,"School","No Occupation",0,195
"9545","European","Other","F",50,"Vocational/Trade","Sales Workers",40,915
"9546","European","Other","M",25,"Vocational/Trade","Technicians and Trade Workers",15,1490
"9547","European","Waikato","M",20,"None","No Occupation",0,332
"9548","Asian","Waikato","M",30,"Bachelore or Higher","Technicians and Trade Workers",40,925
"9549","European","Other","M",45,"None","Machinery Operators and Drivers",40,1868
"9550","European","Wellington","F",65,"School","Technicians and Trade Workers",14,183
"9551","European","Bay of Plenty","F",40,"Bachelore or Higher","Sales Workers",0,510
"9552","European","Nelson/Tasman/Marlborough/West Coast","F",40,"School","Clerical and Administrative Workers",24,532
"9553","European","Northland","M",15,"School","Sales Workers",40,814
"9554","Maori","Manawatu-Wanganui","F",60,"Vocational/Trade","Community and Personal Service Worker",9,146
"9555","European","Canterbury","F",15,"School","Clerical and Administrative Workers",9,117
"9556","Maori","Bay of Plenty","F",25,"Bachelore or Higher","No Occupation",0,133
"9557","European","Canterbury","M",45,"Bachelore or Higher","Professionals",0,1579
"9558","European","Canterbury","F",20,"School","Clerical and Administrative Workers",20,234
"9559","European","Auckland","F",65,"Other","No Occupation",0,804
"9560","European","Auckland","F",20,"School","Clerical and Administrative Workers",40,1053
"9561","European","Other","F",30,"Bachelore or Higher","Managers",24,365
"9562","European","Taranaki","M",15,"Vocational/Trade","No Occupation",0,0
"9563","European","Gisborne / Hawke's Bay","M",20,"School","Professionals",40,648
"9564","European","Taranaki","F",55,"Vocational/Trade","Clerical and Administrative Workers",11.5,355
"9565","European","Wellington","F",25,"Vocational/Trade","Clerical and Administrative Workers",37,1076
"9566","European","Waikato","F",15,"None","No Occupation",0,0
"9567","European","Auckland","F",50,"Bachelore or Higher","No Occupation",0,411
"9568","European","Bay of Plenty","M",30,"Bachelore or Higher","Professionals",34.5,615
"9569","Pacific People","Auckland","F",15,"School","No Occupation",0,0
"9570","European","Auckland","F",35,"Bachelore or Higher","Professionals",35,3000
"9571","Other Ethnicity","Gisborne / Hawke's Bay","M",55,"School","Labourers",41.5,820
"9572","European","Other","F",20,"Other","No Occupation",0,221
"9573","European","Auckland","F",40,"Vocational/Trade","Clerical and Administrative Workers",32,749
"9574","European","Auckland","F",65,"School","No Occupation",0,270
"9575","European","Canterbury","F",65,"Vocational/Trade","Community and Personal Service Worker",12,414
"9576","European","Northland","F",20,"Other","Clerical and Administrative Workers",40,1214
"9577","European","Wellington","M",60,"Bachelore or Higher","Professionals",40,1557
"9578","European","Canterbury","M",15,"School","No Occupation",0,0
"9579","Pacific People","Gisborne / Hawke's Bay","F",15,"School","No Occupation",0,0
"9580","Asian","Auckland","F",25,"Bachelore or Higher","No Occupation",0,296
"9581","Maori","Manawatu-Wanganui","F",65,"None","Community and Personal Service Worker",37,1614
"9582","Maori","Waikato","M",30,"Vocational/Trade","Machinery Operators and Drivers",40,662
"9583","European","Auckland","F",40,"Bachelore or Higher","Professionals",37,1753
"9584","Maori","Gisborne / Hawke's Bay","M",15,"School","Professionals",44,1243
"9585","European","Other","M",25,"Vocational/Trade","Clerical and Administrative Workers",40,980
"9586","Maori","Manawatu-Wanganui","M",30,"School","Labourers",10,203
"9587","European","Auckland","F",60,"School","Clerical and Administrative Workers",37,738
"9588","European","Taranaki","F",45,"School","Technicians and Trade Workers",40,672
"9589","Asian","Auckland","M",35,"Bachelore or Higher","No Occupation",0,17
"9590","Asian","Canterbury","M",15,"School","No Occupation",0,0
"9591","Maori","Auckland","M",35,"School","No Occupation",0,368
"9592","Maori","Auckland","F",65,"None","No Occupation",0,296
"9593","Other","Other","M",60,"None","Technicians and Trade Workers",40,1561
"9594","European","Manawatu-Wanganui","F",30,"Other","Community and Personal Service Worker",0,360
"9595","European","Auckland","M",20,"School","Clerical and Administrative Workers",5,60
"9596","Other","Gisborne / Hawke's Bay","F",65,"Vocational/Trade","No Occupation",0,0
"9597","European","Canterbury","M",45,"Vocational/Trade","Professionals",20,601
"9598","Asian","Auckland","M",20,"School","Managers",0,237
"9599","European","Northland","M",30,"Vocational/Trade","Professionals",76,1430
"9600","Asian","Auckland","M",55,"Other","Sales Workers",40,605
"9601","European","Auckland","F",55,"Bachelore or Higher","Technicians and Trade Workers",40,1477
"9602","European","Gisborne / Hawke's Bay","M",50,"Vocational/Trade","Technicians and Trade Workers",28,551
"9603","European","Manawatu-Wanganui","F",30,"School","Sales Workers",36,493
"9604","European","Nelson/Tasman/Marlborough/West Coast","F",50,"School","Professionals",40,865
"9605","European","Auckland","M",40,"None","Labourers",8,205
"9606","European","Canterbury","F",65,"None","No Occupation",0,266
"9607","European","Other","M",60,"Vocational/Trade","Clerical and Administrative Workers",40,1056
"9608","European","Auckland","M",65,"School","No Occupation",0,128
"9609","European","Wellington","F",20,"School","Clerical and Administrative Workers",39,622
"9610","European","Nelson/Tasman/Marlborough/West Coast","M",50,"None","Professionals",40,767
"9611","European","Auckland","M",30,"School","Sales Workers",40,814
"9612","European","Canterbury","F",40,"Other","Professionals",3,158
"9613","European","Wellington","F",30,"School","Clerical and Administrative Workers",42.5,1143
"9614","European","Canterbury","F",45,"Vocational/Trade","Managers",0,0
"9615","Maori","Bay of Plenty","F",25,"None","Sales Workers",0,112
"9616","European","Auckland","F",30,"Bachelore or Higher","Clerical and Administrative Workers",0,880
"9617","European","Bay of Plenty","F",50,"Vocational/Trade","Clerical and Administrative Workers",12.5,440
"9618","European","Canterbury","F",65,"None","No Occupation",0,144
"9619","Maori","Auckland","F",40,"None","Managers",0,0
"9620","European","Other","M",30,"Vocational/Trade","Technicians and Trade Workers",16,396
"9621","European","Gisborne / Hawke's Bay","F",25,"Vocational/Trade","Community and Personal Service Worker",21,321
"9622","Pacific People","Auckland","F",60,"Vocational/Trade","No Occupation",3,155
"9623","European","Canterbury","F",40,"School","Community and Personal Service Worker",37,777
"9624","Asian","Canterbury","F",50,"Other","Community and Personal Service Worker",10,658
"9625","Maori","Northland","M",35,"None","Managers",60,702
"9626","European","Waikato","F",60,"School","Managers",20,1314
"9627","European","Canterbury","F",15,"Vocational/Trade","Professionals",40,682
"9628","European","Other","M",45,"Vocational/Trade","No Occupation",0,0
"9629","European","Waikato","F",20,"Vocational/Trade","No Occupation",0,0
"9630","Maori","Wellington","F",35,"Vocational/Trade","No Occupation",0,0
"9631","Other","Auckland","F",45,"School","Clerical and Administrative Workers",45,1270
"9632","European","Northland","M",65,"Vocational/Trade","No Occupation",0,317
"9633","Other","Wellington","F",65,"Vocational/Trade","No Occupation",0,220
"9634","European","Waikato","M",50,"Vocational/Trade","Managers",40,1335
"9635","Other","Auckland","M",20,"School","Technicians and Trade Workers",40,647
"9636","European","Waikato","F",20,"Bachelore or Higher","Professionals",20,306
"9637","European","Wellington","M",45,"Bachelore or Higher","Professionals",5,-84
"9638","Asian","Auckland","F",55,"Other","No Occupation",0,331
"9639","European","Auckland","M",65,"School","No Occupation",0,659
"9640","European","Wellington","F",35,"Bachelore or Higher","Sales Workers",5,108
"9641","European","Nelson/Tasman/Marlborough/West Coast","F",65,"Vocational/Trade","No Occupation",0,400
"9642","European","Wellington","M",65,"Vocational/Trade","Managers",0,630
"9643","European","Auckland","M",65,"Vocational/Trade","No Occupation",0,421
"9644","Other","Canterbury","M",25,"Vocational/Trade","Professionals",13,211
"9645","European","Nelson/Tasman/Marlborough/West Coast","M",20,"None","Labourers",30,281
"9646","Other","Wellington","M",15,"School","No Occupation",0,0
"9647","European","Waikato","F",30,"Bachelore or Higher","Clerical and Administrative Workers",40,844
"9648","European","Wellington","F",65,"None","Sales Workers",25,728
"9649","European","Northland","M",35,"Vocational/Trade","Labourers",50,1246
"9650","Maori","Wellington","F",45,"None","Professionals",40,571
"9651","European","Auckland","F",15,"School","No Occupation",0,0
"9652","Maori","Wellington","F",25,"None","No Occupation",0,382
"9653","European","Gisborne / Hawke's Bay","M",45,"School","No Occupation",0,0
"9654","Asian","Nelson/Tasman/Marlborough/West Coast","F",15,"School","No Occupation",0,0
"9655","European","Bay of Plenty","M",25,"Bachelore or Higher","Sales Workers",0,863
"9656","European","Wellington","M",50,"Other","No Occupation",0,440
"9657","European","Taranaki","F",65,"Vocational/Trade","No Occupation",0,165
"9658","Asian","Auckland","F",25,"Vocational/Trade","Professionals",0,-207
"9659","Other Ethnicity","Other","M",45,"None","Technicians and Trade Workers",0,392
